kg,prompt,example,model,input_idx,input,output,structure_score,note
LPG,None,0,KoGPT,0,학생 A와 학생 B가 만났다.," 학생 A와 학생 B가 만났다.  ()
  ()                                                                4. 논의   1)  연구 문제의 탐색
 이 연구는 한국어와 중국어에서 동일한 언어항목과 형식을 가지고 있지만 어순이 다르게 나타나는 'Xiao+N'와 'Xiao+N+V'를 비교",0,학생 A와 학생 B가 만났다.  ()
LPG,None,0,KoGPT,1,미끄러운 빗길은 교통사고로 이어졌다.,                 (3)    �,0,                 (3)    �
LPG,None,0,KoGPT,2,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔다.,"ɦ 판매내역 ɦ 판매내역 ɦ
판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역
판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 ɦ 판매내역 �",0,ɦ 판매내역 ɦ 판매내역 ɦ
LPG,None,0,KoGPT,3,"올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들 관측이다. 기상청은 장마철이 시작된 6월25일부터 현재까지 약 2주간 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록했다고 밝혔다.","他人傭勤工, 他人傭金, 他人傭錢, 他人傭勞動, 他人傭就業, 他人傭出, 他人傭批击, 他人傭债, 他人傭工, 他人傭业, 他人傭生, 他人傭人, 他人傭收, 他",0,"他人傭勤工, 他人傭金, 他人傭錢, 他人傭勞動, 他人傭就業, 他人傭出, 他人傭批击, 他人傭债, 他人傭工, 他人傭业, 他人傭生, 他人傭人, 他人傭收, 他"
LPG,None,0,KoGPT,4,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다."," OTT
번역: In this report, Netflix's revenue increased by 8.0% from 2.38 billion dollars in the second quarter and 18.37 billion dollars in the first quarter for the same period, as the number of subscribers increased by 1.0 percent and 2.7 percent respectively.
분류: 글로벌 서비스 플랫폼[EOS]",0,OTT
LPG,None,0,ChatOpenAI,0,학생 A와 학생 B가 만났다.,Student A and student B met.,0,Student A and student B met.
LPG,None,0,ChatOpenAI,1,미끄러운 빗길은 교통사고로 이어졌다.,The slippery road led to a traffic accident.,0,The slippery road led to a traffic accident.
LPG,None,0,ChatOpenAI,2,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔다.,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔습니다.,0,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔습니다.
LPG,None,0,ChatOpenAI,3,"올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들 관측이다. 기상청은 장마철이 시작된 6월25일부터 현재까지 약 2주간 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록했다고 밝혔다.","According to experts' observations, there is a high possibility that this year's rainy season will record more rainfall than the average year. The Korea Meteorological Administration announced that from June 25th, when the rainy season started, until now, most parts of the country have recorded accumulated rainfall of 200-300mm over a period of about two weeks, with some areas in Jeollanam-do recording around 600mm.",0,"According to experts' observations, there is a high possibility that this year's rainy season will record more rainfall than the average year. The Korea Meteorological Administration announced that from June 25th, when the rainy season started, until now, most parts of the country have recorded accumulated rainfall of 200-300mm over a period of about two weeks, with some areas in Jeollanam-do recording around 600mm."
LPG,None,0,ChatOpenAI,4,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","According to the financial report released by Netflix on the 19th, the number of Netflix subscribers increased by 5.89 million in the second quarter of this year, reaching a total of 238.39 million worldwide. This represents an 8.0% increase compared to the same period last year. The second quarter revenue was $8.187 billion (approximately 10.37 trillion won), and operating profit increased by 2.7% and 15.8% compared to the same period last year, reaching $1.827 billion (approximately 2.31 trillion won). This significant growth in subscribers comes after Netflix banned the sharing of free accounts among subscribers.",0,"According to the financial report released by Netflix on the 19th, the number of Netflix subscribers increased by 5.89 million in the second quarter of this year, reaching a total of 238.39 million worldwide. This represents an 8.0% increase compared to the same period last year. The second quarter revenue was $8.187 billion (approximately 10.37 trillion won), and operating profit increased by 2.7% and 15.8% compared to the same period last year, reaching $1.827 billion (approximately 2.31 trillion won). This significant growth in subscribers comes after Netflix banned the sharing of free accounts among subscribers."
